first,frequency_first,last,frequency_last
Charles-olivier,0.000767908,Rousset,0.00124816
Ismael,0.000767908,Toussaint,0.001237734
Agathe,0.000760234,Wagner,0.00122557
Ella,0.000760234,Fischer,0.001224577
Felicia,0.000760234,Normand,0.001223833
Heidi,0.000760234,Maillet,0.001218206
Nada,0.000760234,Guibert,0.001207449
Stephanie,0.000760234,Labbe,0.001207449
Antony,0.000752549,Bazin,0.001202732
Frederick,0.000752549,Rocher,0.001201656
Britany,0.000740741,Bonnin,0.001199008
Constance,0.000740741,Merle,0.001197933
Eve-marie,0.000740741,Jacquot,0.001197602
Lauralie,0.000740741,Grenier,0.001195533
Salma,0.000740741,Valette,0.001191809
Emerick,0.000737191,Leconte,0.001190154
Louis-felix,0.000737191,Peltier,0.00118792
Patrick,0.000737191,Pruvost,0.001186183
Yohan,0.000737191,Auger,0.001179149
Christian,0.000721833,Vallet,0.001174681
Abigael,0.000721248,Pottier,0.001172116
Abigaelle,0.000721248,Descamps,0.001164751
Eleonore,0.000721248,Parent,0.001164586
Kate,0.000721248,Boutin,0.001164006
Marwa,0.000721248,Potier,0.001159869
Tyler,0.000706475,Chauveau,0.001151925
Clemence,0.000701754,Martineau,0.001148698
Danika,0.000701754,Hernandez,0.001145305
Fatima,0.000701754,Neveu,0.001143981
Jennifer,0.000701754,Peron,0.001143816
Meredith,0.000701754,Delahaye,0.001142988
Noemy,0.000701754,Vial,0.001140341
Sara-maude,0.000701754,Blot,0.001132811
Adrien,0.000691117,Delage,0.001123874
Alec,0.000691117,Lemonnier,0.001123626
Charlie,0.000691117,Petitjean,0.001117254
Leonard,0.000691117,Maurin,0.001116178
Mael,0.000691117,Rodrigues,0.001115103
Mehdi,0.000691117,Cros,0.001111296
Mickael,0.000691117,Lafon,0.001109807
Angelie,0.000682261,Faivre,0.001107904
Hiba,0.000682261,Chretien,0.001104676
Lea-maude,0.000682261,Fouquet,0.001101698
Lyna,0.000682261,Serre,0.001101367
Maina,0.000682261,Favre,0.001100705
Mariam,0.000682261,Becker,0.001099877
Maryam,0.000682261,Foucher,0.001099132
Valerie,0.000682261,Guyon,0.001097146
Andy,0.000675759,Joseph,0.001096567
Enzo,0.000675759,Mace,0.001094747
Jessy,0.000675759,Dos Santos,0.001089699
Allyson,0.000662768,Gallet,0.001085645
Anabel,0.000662768,Charbonnier,0.001085396
Estelle,0.000662768,Bouvet,0.001085065
Hailey,0.000662768,Salmon,0.001083824
Laetitia,0.000662768,Le Corre,0.001082335
Meliane,0.000662768,Fernandes,0.001081342
Rania,0.000662768,Bernier,0.001078528
Alexi,0.000660401,Rossignol,0.001077122
Omar,0.000660401,Delannoy,0.001063551
Robin,0.000660401,Levy,0.001062475
Amine,0.000645042,Prigent,0.001060324
Clement,0.000645042,Lecoq,0.001054697
Dominic,0.000645042,Thierry,0.001052049
Sean,0.000645042,Cornu,0.001050394
Andrea,0.000643275,Girault,0.001049319
Ava,0.000643275,Jourdain,0.001047581
Rosemarie,0.000643275,Begue,0.001044933
Charles-etienne,0.000629684,Andrieu,0.001043195
Dereck,0.000629684,Maurel,0.001041706
Diego,0.000629684,Ruiz,0.001041623
Karim,0.000629684,Parmentier,0.001038479
Massimo,0.000629684,Guy,0.001036162
Alessia,0.000623782,Laborde,0.001034424
Alexanne,0.000623782,Gras,0.001032852
Angela,0.000623782,Goncalves,0.001029873
Elise,0.000623782,Castel,0.001029128
Hannah,0.000623782,Gervais,0.001028549
Joanie,0.000623782,Boulay,0.00102797
Koraly,0.000623782,Chapuis,0.00102557
Mahee,0.000623782,Samson,0.001024743
Marie-eve,0.000623782,Duclos,0.001021433
Marilie,0.000623782,Dijoux,0.001021019
Marylou,0.000623782,Chambon,0.001019943
Thalie,0.000623782,Stephan,0.001017875
Yassine,0.000614326,Sabatier,0.001017213
Abygaelle,0.000604288,Poncet,0.001013075
Audrey-ann,0.000604288,Besse,0.001011834
Christina,0.000604288,Weiss,0.001011338
Corinne,0.000604288,Doucet,0.001009269
